Wavelength	Intensity	ROI	Frame	Row	Column
924.73731345318879	642	1	1	0	164
924.75435469873457	648	1	1	0	165
924.77139557298756	654	1	1	0	166
924.78843607591091	656	1	1	0	167
924.80547620746722	645	1	1	0	168
924.82251596761932	649	1	1	0	169
924.83955535633027	648	1	1	0	170
924.85659437356242	651	1	1	0	171
924.873633019279	645	1	1	0	172
924.89067129344255	653	1	1	0	173
924.90770919601607	646	1	1	0	174
924.92474672696233	643	1	1	0	175
924.94178388624414	648	1	1	0	176
924.95882067382411	641	1	1	0	177
924.97585708966574	655	1	1	0	178
924.992893133731	657	1	1	0	179
925.00992880598324	641	1	1	0	180
925.02696410638544	626	1	1	0	181
925.0439990349	646	1	1	0	182
925.06103359149	631	1	1	0	183
925.07806777611825	634	1	1	0	184
925.09510158874764	635	1	1	0	185
925.11213502934106	653	1	1	0	186
925.12916809786111	646	1	1	0	187
925.146200794271	637	1	1	0	188
925.16323311853319	652	1	1	0	189
925.18026507061074	634	1	1	0	190
925.1972966504668	642	1	1	0	191
925.21432785806383	633	1	1	0	192
925.23135869336477	632	1	1	0	193
925.24838915633234	635	1	1	0	194
925.26541924692992	640	1	1	0	195
925.28244896512	632	1	1	0	196
925.29947831086554	653	1	1	0	197
925.31650728412933	640	1	1	0	198
925.33353588487432	638	1	1	0	199
925.35056411306346	642	1	1	0	200
925.36759196865955	639	1	1	0	201
925.38461945162567	627	1	1	0	202
925.40164656192439	663	1	1	0	203
925.41867329951867	637	1	1	0	204
925.43569966437144	626	1	1	0	205
925.45272565644586	651	1	1	0	206
925.46975127570454	635	1	1	0	207
925.48677652211052	631	1	1	0	208
925.50380139562651	633	1	1	0	209
925.52082589621557	642	1	1	0	210
925.53785002384063	626	1	1	0	211
925.5548737784643	635	1	1	0	212
925.57189716005007	643	1	1	0	213
925.58892016856021	626	1	1	0	214
925.60594280395821	635	1	1	0	215
925.62296506620669	641	1	1	0	216
925.63998695526845	637	1	1	0	217
925.65700847110679	638	1	1	0	218
925.67402961368441	634	1	1	0	219
925.69105038296414	638	1	1	0	220
925.708070778909	633	1	1	0	221
925.72509080148177	635	1	1	0	222
925.7421104506459	640	1	1	0	223
925.75912972636388	632	1	1	0	224
925.77614862859878	620	1	1	0	225
925.79316715731352	647	1	1	0	226
925.810185312471	633	1	1	0	227
925.82720309403419	630	1	1	0	228
925.84422050196611	629	1	1	0	229
925.86123753622962	627	1	1	0	230
925.87825419678768	621	1	1	0	231
925.89527048360344	633	1	1	0	232
925.91228639663962	635	1	1	0	233
925.92930193585926	643	1	1	0	234
925.94631710122542	634	1	1	0	235
925.96333189270092	630	1	1	0	236
925.98034631024882	617	1	1	0	237
925.997360353832	635	1	1	0	238
926.01437402341355	633	1	1	0	239
926.03138731895638	639	1	1	0	240
926.04840024042346	641	1	1	0	241
926.06541278777775	627	1	1	0	242
926.08242496098228	644	1	1	0	243
926.09943676000012	636	1	1	0	244
926.116448184794	628	1	1	0	245
926.13345923532711	630	1	1	0	246
926.15046991156248	638	1	1	0	247
926.16748021346291	617	1	1	0	248
926.18449014099167	634	1	1	0	249
926.20149969411148	629	1	1	0	250
926.21850887278561	631	1	1	0	251
926.23551767697677	623	1	1	0	252
926.25252610664813	621	1	1	0	253
926.26953416176252	621	1	1	0	254
926.28654184228333	628	1	1	0	255
926.30354914817349	621	1	1	0	256
926.3205560793956	620	1	1	0	257
926.337562635913	634	1	1	0	258
926.35456881768869	630	1	1	0	259
926.37157462468576	639	1	1	0	260
926.388580056867	635	1	1	0	261
926.40558511419556	622	1	1	0	262
926.42258979663484	641	1	1	0	263
926.4395941041472	641	1	1	0	264
926.456598036696	630	1	1	0	265
926.47360159424431	622	1	1	0	266
926.49060477675516	631	1	1	0	267
926.50760758419165	637	1	1	0	268
926.5246100165167	634	1	1	0	269
926.54161207369327	628	1	1	0	270
926.55861375568452	624	1	1	0	271
926.57561506245361	624	1	1	0	272
926.59261599396348	627	1	1	0	273
926.60961655017718	623	1	1	0	274
926.62661673105777	619	1	1	0	275
926.64361653656852	628	1	1	0	276
926.660615966672	632	1	1	0	277
926.67761502133169	610	1	1	0	278
926.69461370051056	627	1	1	0	279
926.71161200417168	626	1	1	0	280
926.728609932278	625	1	1	0	281
926.7456074847928	632	1	1	0	282
926.76260466167912	628	1	1	0	283
926.7796014628999	615	1	1	0	284
926.79659788841832	635	1	1	0	285
926.81359393819741	629	1	1	0	286
926.83058961220024	619	1	1	0	287
926.84758491038986	625	1	1	0	288
926.86457983272965	636	1	1	0	289
926.88157437918233	618	1	1	0	290
926.89856854971129	634	1	1	0	291
926.91556234427935	612	1	1	0	292
926.93255576285	613	1	1	0	293
926.94954880538592	620	1	1	0	294
926.96654147185041	611	1	1	0	295
926.98353376220643	622	1	1	0	296
927.00052567641751	623	1	1	0	297
927.01751721444634	619	1	1	0	298
927.0345083762561	626	1	1	0	299
927.05149916180994	629	1	1	0	300
927.06848957107115	614	1	1	0	301
927.08547960400256	623	1	1	0	302
927.10246926056766	623	1	1	0	303
927.11945854072928	620	1	1	0	304
927.13644744445071	616	1	1	0	305
927.15343597169488	622	1	1	0	306
927.170424122425	622	1	1	0	307
927.18741189660432	615	1	1	0	308
927.20439929419592	620	1	1	0	309
927.22138631516293	616	1	1	0	310
927.23837295946862	625	1	1	0	311
927.2553592270757	624	1	1	0	312
927.27234511794791	626	1	1	0	313
927.28933063204806	626	1	1	0	314
927.30631576933922	625	1	1	0	315
927.32330052978489	625	1	1	0	316
927.340284913348	617	1	1	0	317
927.3572689199915	618	1	1	0	318
927.37425254967889	618	1	1	0	319
927.39123580237344	623	1	1	0	320
927.40821867803788	612	1	1	0	321
927.4252011766356	620	1	1	0	322
